frame_index, frame_size, send_frame_index_when_display, send_time_point, receive_time_point, display_time_point, receive_delay, display_delay
0, 334, 10, 0.000000, 334.333333, 334.333333, 334.333333, 334.333333
1, 5, 11, 33.333333, 339.333333, 367.666667, 306.000000, 334.333333
2, 14, 12, 66.666667, 353.333333, 401.000000, 286.666667, 334.333333
3, 24, 13, 100.000000, 373.666667, 434.333333, 273.666667, 334.333333
4, 29, 14, 133.333333, 402.666667, 467.666667, 269.333333, 334.333333
5, 24, 15, 166.666667, 423.000000, 501.000000, 256.333333, 334.333333
6, 32, 16, 200.000000, 451.333333, 534.333333, 251.333333, 334.333333
7, 31, 17, 233.333333, 478.666667, 567.666667, 245.333333, 334.333333
8, 36, 18, 266.666667, 511.000000, 601.000000, 244.333333, 334.333333
9, 27, 19, 300.000000, 534.333333, 634.333333, 234.333333, 334.333333
10, 31, 20, 333.333333, 565.333333, 667.666667, 232.000000, 334.333333
11, 32, 21, 366.666667, 593.666667, 701.000000, 227.000000, 334.333333
12, 34, 22, 400.000000, 624.000000, 734.333333, 224.000000, 334.333333
13, 28, 23, 433.333333, 648.333333, 767.666667, 215.000000, 334.333333
14, 30, 24, 466.666667, 674.666667, 801.000000, 208.000000, 334.333333
15, 31, 25, 500.000000, 702.000000, 834.333333, 202.000000, 334.333333
16, 34, 26, 533.333333, 736.000000, 867.666667, 202.666667, 334.333333
17, 27, 27, 566.666667, 759.333333, 901.000000, 192.666667, 334.333333
18, 31, 28, 600.000000, 786.666667, 934.333333, 186.666667, 334.333333
19, 28, 29, 633.333333, 811.000000, 967.666667, 177.666667, 334.333333
20, 35, 30, 666.666667, 842.333333, 1001.000000, 175.666667, 334.333333
21, 27, 31, 700.000000, 869.333333, 1034.333333, 169.333333, 334.333333
22, 28, 32, 733.333333, 893.666667, 1067.666667, 160.333333, 334.333333
23, 29, 33, 766.666667, 919.000000, 1101.000000, 152.333333, 334.333333
24, 33, 34, 800.000000, 948.333333, 1134.333333, 148.333333, 334.333333
25, 28, 35, 833.333333, 972.666667, 1167.666667, 139.333333, 334.333333
26, 30, 36, 866.666667, 1002.666667, 1201.000000, 136.000000, 334.333333
27, 32, 37, 900.000000, 1031.000000, 1234.333333, 131.000000, 334.333333
28, 34, 38, 933.333333, 1061.333333, 1267.666667, 128.000000, 334.333333
29, 25, 39, 966.666667, 1082.666667, 1301.000000, 116.000000, 334.333333
30, 30, 40, 1000.000000, 1109.000000, 1334.333333, 109.000000, 334.333333
31, 31, 41, 1033.333333, 1136.333333, 1367.666667, 103.000000, 334.333333
32, 34, 42, 1066.666667, 1170.333333, 1401.000000, 103.666667, 334.333333
33, 25, 43, 1100.000000, 1191.666667, 1434.333333, 91.666667, 334.333333
34, 27, 44, 1133.333333, 1215.000000, 1467.666667, 81.666667, 334.333333
35, 26, 45, 1166.666667, 1237.333333, 1501.000000, 70.666667, 334.333333
36, 30, 46, 1200.000000, 1267.333333, 1534.333333, 67.333333, 334.333333
37, 20, 47, 1233.333333, 1286.666667, 1567.666667, 53.333333, 334.333333
38, 26, 48, 1266.666667, 1326.000000, 1601.000000, 59.333333, 334.333333
39, 30, 49, 1300.000000, 1363.333333, 1634.333333, 63.333333, 334.333333
40, 31, 50, 1333.333333, 1397.666667, 1667.666667, 64.333333, 334.333333
41, 21, 51, 1366.666667, 1421.000000, 1701.000000, 54.333333, 334.333333
42, 25, 52, 1400.000000, 1458.333333, 1734.333333, 58.333333, 334.333333
43, 27, 53, 1433.333333, 1493.666667, 1767.666667, 60.333333, 334.333333
