frame_index, frame_size, send_frame_index_when_display, send_time_point, receive_time_point, display_time_point, receive_delay, display_delay
0, 125, 1, 0.000000, 45.833333, 45.833333, 45.833333, 45.833333
1, 2, 2, 33.333333, 66.866667, 79.166667, 33.533333, 45.833333
2, 5, 3, 66.666667, 100.500000, 112.500000, 33.833333, 45.833333
3, 29, 4, 100.000000, 136.233333, 145.833333, 36.233333, 45.833333
4, 25, 5, 133.333333, 169.166667, 179.166667, 35.833333, 45.833333
5, 22, 6, 166.666667, 202.200000, 212.500000, 35.533333, 45.833333
6, 29, 7, 200.000000, 236.233333, 245.833333, 36.233333, 45.833333
7, 29, 8, 233.333333, 269.566667, 279.166667, 36.233333, 45.833333
8, 27, 9, 266.666667, 302.700000, 312.500000, 36.033333, 45.833333
9, 20, 10, 300.000000, 335.333333, 345.833333, 35.333333, 45.833333
10, 29, 11, 333.333333, 369.566667, 379.166667, 36.233333, 45.833333
11, 29, 12, 366.666667, 402.900000, 412.500000, 36.233333, 45.833333
12, 26, 13, 400.000000, 435.933333, 445.833333, 35.933333, 45.833333
13, 20, 14, 433.333333, 468.666667, 479.166667, 35.333333, 45.833333
14, 28, 15, 466.666667, 502.800000, 512.500000, 36.133333, 45.833333
15, 27, 16, 500.000000, 536.033333, 545.833333, 36.033333, 45.833333
16, 26, 17, 533.333333, 569.266667, 579.166667, 35.933333, 45.833333
17, 21, 18, 566.666667, 602.100000, 612.500000, 35.433333, 45.833333
18, 27, 19, 600.000000, 636.033333, 645.833333, 36.033333, 45.833333
19, 25, 20, 633.333333, 669.166667, 679.166667, 35.833333, 45.833333
20, 29, 21, 666.666667, 702.900000, 712.500000, 36.233333, 45.833333
21, 22, 22, 700.000000, 735.533333, 745.833333, 35.533333, 45.833333
22, 25, 23, 733.333333, 769.166667, 779.166667, 35.833333, 45.833333
23, 27, 24, 766.666667, 802.700000, 812.500000, 36.033333, 45.833333
24, 30, 25, 800.000000, 836.333333, 845.833333, 36.333333, 45.833333
25, 23, 26, 833.333333, 868.966667, 879.166667, 35.633333, 45.833333
26, 29, 27, 866.666667, 902.900000, 912.500000, 36.233333, 45.833333
27, 29, 28, 900.000000, 936.233333, 945.833333, 36.233333, 45.833333
28, 31, 29, 933.333333, 969.766667, 979.166667, 36.433333, 45.833333
29, 22, 30, 966.666667, 1002.200000, 1012.500000, 35.533333, 45.833333
30, 29, 31, 1000.000000, 1036.233333, 1045.833333, 36.233333, 45.833333
31, 25, 32, 1033.333333, 1069.166667, 1079.166667, 35.833333, 45.833333
32, 31, 33, 1066.666667, 1103.100000, 1112.500000, 36.433333, 45.833333
33, 22, 34, 1100.000000, 1135.533333, 1145.833333, 35.533333, 45.833333
34, 26, 35, 1133.333333, 1169.266667, 1179.166667, 35.933333, 45.833333
35, 25, 36, 1166.666667, 1202.500000, 1212.500000, 35.833333, 45.833333
36, 27, 37, 1200.000000, 1236.033333, 1245.833333, 36.033333, 45.833333
37, 23, 38, 1233.333333, 1268.966667, 1279.166667, 35.633333, 45.833333
38, 27, 39, 1266.666667, 1302.700000, 1312.500000, 36.033333, 45.833333
39, 29, 40, 1300.000000, 1336.233333, 1345.833333, 36.233333, 45.833333
40, 24, 41, 1333.333333, 1369.066667, 1379.166667, 35.733333, 45.833333
41, 23, 42, 1366.666667, 1402.300000, 1412.500000, 35.633333, 45.833333
42, 25, 43, 1400.000000, 1435.833333, 1445.833333, 35.833333, 45.833333
43, 27, 44, 1433.333333, 1469.366667, 1479.166667, 36.033333, 45.833333
44, 28, 45, 1466.666667, 1502.800000, 1512.500000, 36.133333, 45.833333
45, 23, 46, 1500.000000, 1535.633333, 1545.833333, 35.633333, 45.833333
46, 26, 47, 1533.333333, 1569.266667, 1579.166667, 35.933333, 45.833333
47, 26, 48, 1566.666667, 1602.600000, 1612.500000, 35.933333, 45.833333
48, 26, 49, 1600.000000, 1635.933333, 1645.833333, 35.933333, 45.833333
49, 24, 50, 1633.333333, 1669.066667, 1679.166667, 35.733333, 45.833333
50, 26, 51, 1666.666667, 1702.600000, 1712.500000, 35.933333, 45.833333
51, 27, 52, 1700.000000, 1736.033333, 1745.833333, 36.033333, 45.833333
52, 30, 53, 1733.333333, 1769.666667, 1779.166667, 36.333333, 45.833333
53, 23, 54, 1766.666667, 1802.300000, 1812.500000, 35.633333, 45.833333
54, 27, 55, 1800.000000, 1836.033333, 1845.833333, 36.033333, 45.833333
55, 27, 56, 1833.333333, 1869.366667, 1879.166667, 36.033333, 45.833333
56, 31, 57, 1866.666667, 1903.100000, 1912.500000, 36.433333, 45.833333
57, 24, 58, 1900.000000, 1935.733333, 1945.833333, 35.733333, 45.833333
58, 28, 59, 1933.333333, 1969.466667, 1979.166667, 36.133333, 45.833333
59, 26, 60, 1966.666667, 2002.600000, 2012.500000, 35.933333, 45.833333
60, 27, 61, 2000.000000, 2036.033333, 2045.833333, 36.033333, 45.833333
61, 26, 62, 2033.333333, 2069.266667, 2079.166667, 35.933333, 45.833333
62, 25, 63, 2066.666667, 2102.500000, 2112.500000, 35.833333, 45.833333
63, 29, 64, 2100.000000, 2136.233333, 2145.833333, 36.233333, 45.833333
64, 31, 65, 2133.333333, 2169.766667, 2179.166667, 36.433333, 45.833333
65, 22, 66, 2166.666667, 2202.200000, 2212.500000, 35.533333, 45.833333
66, 29, 67, 2200.000000, 2236.233333, 2245.833333, 36.233333, 45.833333
67, 30, 68, 2233.333333, 2269.666667, 2279.166667, 36.333333, 45.833333
68, 28, 69, 2266.666667, 2302.800000, 2312.500000, 36.133333, 45.833333
69, 25, 70, 2300.000000, 2335.833333, 2345.833333, 35.833333, 45.833333
70, 30, 71, 2333.333333, 2369.666667, 2379.166667, 36.333333, 45.833333
71, 30, 72, 2366.666667, 2403.000000, 2412.500000, 36.333333, 45.833333
72, 34, 73, 2400.000000, 2436.733333, 2445.833333, 36.733333, 45.833333
73, 28, 74, 2433.333333, 2469.466667, 2479.166667, 36.133333, 45.833333
74, 33, 75, 2466.666667, 2503.300000, 2512.500000, 36.633333, 45.833333
75, 27, 76, 2500.000000, 2536.033333, 2545.833333, 36.033333, 45.833333
76, 34, 77, 2533.333333, 2570.066667, 2579.166667, 36.733333, 45.833333
77, 26, 78, 2566.666667, 2602.600000, 2612.500000, 35.933333, 45.833333
78, 29, 79, 2600.000000, 2636.233333, 2645.833333, 36.233333, 45.833333
79, 32, 80, 2633.333333, 2669.866667, 2679.166667, 36.533333, 45.833333
80, 32, 81, 2666.666667, 2703.200000, 2712.500000, 36.533333, 45.833333
81, 24, 82, 2700.000000, 2735.733333, 2745.833333, 35.733333, 45.833333
82, 31, 83, 2733.333333, 2769.766667, 2779.166667, 36.433333, 45.833333
83, 38, 84, 2766.666667, 2803.800000, 2812.500000, 37.133333, 45.833333
84, 36, 85, 2800.000000, 2836.933333, 2845.833333, 36.933333, 45.833333
85, 29, 86, 2833.333333, 2869.566667, 2879.166667, 36.233333, 45.833333
86, 35, 87, 2866.666667, 2903.500000, 2912.500000, 36.833333, 45.833333
87, 32, 88, 2900.000000, 2936.533333, 2945.833333, 36.533333, 45.833333
88, 37, 89, 2933.333333, 2970.366667, 2979.166667, 37.033333, 45.833333
89, 28, 90, 2966.666667, 3002.800000, 3012.500000, 36.133333, 45.833333
90, 32, 91, 3000.000000, 3036.533333, 3045.833333, 36.533333, 45.833333
91, 32, 92, 3033.333333, 3069.866667, 3079.166667, 36.533333, 45.833333
92, 37, 93, 3066.666667, 3103.700000, 3112.500000, 37.033333, 45.833333
93, 30, 94, 3100.000000, 3136.333333, 3145.833333, 36.333333, 45.833333
94, 32, 95, 3133.333333, 3169.866667, 3179.166667, 36.533333, 45.833333
95, 33, 96, 3166.666667, 3203.300000, 3212.500000, 36.633333, 45.833333
96, 39, 97, 3200.000000, 3237.233333, 3245.833333, 37.233333, 45.833333
97, 31, 98, 3233.333333, 3269.766667, 3279.166667, 36.433333, 45.833333
98, 33, 99, 3266.666667, 3303.300000, 3312.500000, 36.633333, 45.833333
99, 34, 100, 3300.000000, 3336.733333, 3345.833333, 36.733333, 45.833333
100, 34, 101, 3333.333333, 3370.066667, 3379.166667, 36.733333, 45.833333
101, 30, 102, 3366.666667, 3403.000000, 3412.500000, 36.333333, 45.833333
102, 33, 103, 3400.000000, 3436.633333, 3445.833333, 36.633333, 45.833333
103, 33, 104, 3433.333333, 3469.966667, 3479.166667, 36.633333, 45.833333
104, 35, 105, 3466.666667, 3503.500000, 3512.500000, 36.833333, 45.833333
105, 28, 106, 3500.000000, 3536.133333, 3545.833333, 36.133333, 45.833333
106, 33, 107, 3533.333333, 3569.966667, 3579.166667, 36.633333, 45.833333
107, 32, 108, 3566.666667, 3603.200000, 3612.500000, 36.533333, 45.833333
108, 36, 109, 3600.000000, 3636.933333, 3645.833333, 36.933333, 45.833333
109, 32, 110, 3633.333333, 3669.866667, 3679.166667, 36.533333, 45.833333
110, 34, 111, 3666.666667, 3703.400000, 3712.500000, 36.733333, 45.833333
111, 30, 112, 3700.000000, 3736.333333, 3745.833333, 36.333333, 45.833333
112, 38, 113, 3733.333333, 3770.466667, 3779.166667, 37.133333, 45.833333
113, 31, 114, 3766.666667, 3803.100000, 3812.500000, 36.433333, 45.833333
114, 34, 115, 3800.000000, 3836.733333, 3845.833333, 36.733333, 45.833333
115, 34, 116, 3833.333333, 3870.066667, 3879.166667, 36.733333, 45.833333
116, 40, 117, 3866.666667, 3904.000000, 3912.500000, 37.333333, 45.833333
117, 32, 118, 3900.000000, 3936.533333, 3945.833333, 36.533333, 45.833333
118, 35, 119, 3933.333333, 3970.166667, 3979.166667, 36.833333, 45.833333
119, 36, 120, 3966.666667, 4036.000000, 4036.000000, 69.333333, 69.333333
120, 44, 122, 4000.000000, 4073.666667, 4073.666667, 73.666667, 73.666667
121, 33, 123, 4033.333333, 4103.000000, 4107.000000, 69.666667, 73.666667
122, 37, 124, 4066.666667, 4136.333333, 4140.333333, 69.666667, 73.666667
123, 35, 125, 4100.000000, 4167.666667, 4173.666667, 67.666667, 73.666667
124, 41, 126, 4133.333333, 4205.000000, 4207.000000, 71.666667, 73.666667
125, 34, 127, 4166.666667, 4235.333333, 4240.333333, 68.666667, 73.666667
126, 35, 128, 4200.000000, 4270.333333, 4273.666667, 70.333333, 73.666667
127, 34, 129, 4233.333333, 4300.666667, 4307.000000, 67.333333, 73.666667
128, 37, 130, 4266.666667, 4337.000000, 4340.333333, 70.333333, 73.666667
129, 33, 131, 4300.000000, 4366.333333, 4373.666667, 66.333333, 73.666667
130, 33, 132, 4333.333333, 4399.666667, 4407.000000, 66.333333, 73.666667
131, 34, 133, 4366.666667, 4434.000000, 4440.333333, 67.333333, 73.666667
132, 41, 134, 4400.000000, 4470.666667, 4473.666667, 70.666667, 73.666667
133, 31, 135, 4433.333333, 4501.666667, 4507.000000, 68.333333, 73.666667
134, 35, 136, 4466.666667, 4535.000000, 4540.333333, 68.333333, 73.666667
135, 33, 137, 4500.000000, 4566.333333, 4573.666667, 66.333333, 73.666667
136, 39, 138, 4533.333333, 4602.000000, 4607.000000, 68.666667, 73.666667
137, 35, 139, 4566.666667, 4637.000000, 4640.333333, 70.333333, 73.666667
138, 36, 140, 4600.000000, 4669.333333, 4673.666667, 69.333333, 73.666667
139, 34, 141, 4633.333333, 4700.666667, 4707.000000, 67.333333, 73.666667
140, 40, 142, 4666.666667, 4736.333333, 4740.333333, 69.666667, 73.666667
141, 32, 143, 4700.000000, 4768.333333, 4773.666667, 68.333333, 73.666667
142, 36, 144, 4733.333333, 4802.666667, 4807.000000, 69.333333, 73.666667
143, 34, 145, 4766.666667, 4834.000000, 4840.333333, 67.333333, 73.666667
144, 36, 146, 4800.000000, 4869.333333, 4873.666667, 69.333333, 73.666667
145, 31, 147, 4833.333333, 4897.666667, 4907.000000, 64.333333, 73.666667
146, 29, 148, 4866.666667, 4929.000000, 4940.333333, 62.333333, 73.666667
147, 29, 149, 4900.000000, 4962.333333, 4973.666667, 62.333333, 73.666667
148, 39, 150, 4933.333333, 5002.000000, 5007.000000, 68.666667, 73.666667
149, 30, 151, 4966.666667, 5032.000000, 5040.333333, 65.333333, 73.666667
150, 36, 152, 5000.000000, 5069.333333, 5073.666667, 69.333333, 73.666667
151, 33, 153, 5033.333333, 5099.666667, 5107.000000, 66.333333, 73.666667
152, 36, 154, 5066.666667, 5136.000000, 5140.333333, 69.333333, 73.666667
153, 34, 155, 5100.000000, 5167.333333, 5173.666667, 67.333333, 73.666667
154, 32, 156, 5133.333333, 5198.666667, 5207.000000, 65.333333, 73.666667
155, 33, 157, 5166.666667, 5233.000000, 5240.333333, 66.333333, 73.666667
156, 40, 158, 5200.000000, 5269.666667, 5273.666667, 69.666667, 73.666667
157, 27, 159, 5233.333333, 5296.666667, 5307.000000, 63.333333, 73.666667
158, 35, 160, 5266.666667, 5335.000000, 5340.333333, 68.333333, 73.666667
159, 29, 161, 5300.000000, 5362.333333, 5373.666667, 62.333333, 73.666667
160, 34, 162, 5333.333333, 5400.666667, 5407.000000, 67.333333, 73.666667
161, 33, 163, 5366.666667, 5433.000000, 5440.333333, 66.333333, 73.666667
162, 31, 164, 5400.000000, 5464.333333, 5473.666667, 64.333333, 73.666667
163, 31, 165, 5433.333333, 5497.666667, 5507.000000, 64.333333, 73.666667
164, 32, 166, 5466.666667, 5532.000000, 5540.333333, 65.333333, 73.666667
165, 27, 167, 5500.000000, 5560.333333, 5573.666667, 60.333333, 73.666667
166, 32, 168, 5533.333333, 5598.666667, 5607.000000, 65.333333, 73.666667
167, 30, 169, 5566.666667, 5630.000000, 5640.333333, 63.333333, 73.666667
168, 38, 170, 5600.000000, 5667.666667, 5673.666667, 67.666667, 73.666667
169, 31, 171, 5633.333333, 5698.666667, 5707.000000, 65.333333, 73.666667
170, 31, 172, 5666.666667, 5731.000000, 5740.333333, 64.333333, 73.666667
171, 31, 173, 5700.000000, 5764.333333, 5773.666667, 64.333333, 73.666667
172, 37, 174, 5733.333333, 5803.666667, 5807.000000, 70.333333, 73.666667
173, 29, 175, 5766.666667, 5829.000000, 5840.333333, 62.333333, 73.666667
174, 39, 176, 5800.000000, 5868.666667, 5873.666667, 68.666667, 73.666667
175, 34, 177, 5833.333333, 5902.666667, 5907.000000, 69.333333, 73.666667
176, 40, 178, 5866.666667, 5936.333333, 5940.333333, 69.666667, 73.666667
177, 34, 179, 5900.000000, 5970.333333, 5973.666667, 70.333333, 73.666667
178, 37, 180, 5933.333333, 6003.666667, 6007.000000, 70.333333, 73.666667
179, 38, 181, 5966.666667, 6034.333333, 6040.333333, 67.666667, 73.666667
180, 39, 182, 6000.000000, 6069.666667, 6073.666667, 69.666667, 73.666667
181, 30, 183, 6033.333333, 6099.666667, 6107.000000, 66.333333, 73.666667
182, 37, 184, 6066.666667, 6137.000000, 6140.333333, 70.333333, 73.666667
