current_bitrate,frame_size,duration
4166,5532,14
4166,132,5
4166,180,3
4166,360,2
4166,832,3
4166,655,2
4166,1015,2
4166,1018,2
4166,1097,2
4166,648,2
4166,1035,2
4166,1067,2
4166,902,2
4166,786,2
4166,1070,2
4166,863,1
4166,956,1
4166,652,1
4166,1072,1
4166,999,1
4166,1132,1
4166,948,1
4166,760,1
4166,1059,1
4166,1066,1
4166,963,1
4166,1018,1
4166,1020,1
4166,1038,1
4166,679,1
4166,1070,1
4166,1158,1
4166,905,1
4166,933,1
4166,1042,1
4166,1024,1
4166,907,1
4166,910,1
4166,1031,1
4166,1143,1
4166,793,1
4166,856,1
4166,911,1
4166,1019,1
4166,951,1
4166,865,1
4166,948,1
4166,996,1
4166,951,1
4166,949,1
4166,940,1
4166,1034,1
4166,943,1
4166,891,1
4166,953,1
4166,1011,1
4166,917,1
4166,928,1
4166,1029,1
4166,978,1
4166,898,1
4166,873,1
4166,993,1
4166,994,1
4166,988,1
4166,917,1
4166,969,1
4166,1096,1
4166,857,1
4166,955,1
4166,1020,1
4166,1086,1
4166,1003,1
4166,1013,1
4166,991,1
4166,1107,1
4166,951,1
4166,1009,1
4166,1032,1
4166,1055,1
4166,1066,1
4166,894,1
4166,1111,1
4166,1084,1
4166,1144,1
4166,1055,1
4166,1430,1
4166,1103,1
4166,1145,1
4166,855,1
4166,1108,1
4166,1334,1
4166,1028,1
4166,905,1
4166,1171,1
4166,1224,1
4166,1230,1
4166,1293,1
4166,1111,1
4166,1267,1
4166,976,1
4166,1146,1
4166,1110,1
4166,1052,1
4166,1274,1
4166,1088,1
4166,1293,1
4166,1022,1
4166,1244,1
4166,1090,1
4166,1123,1
4166,983,1
4166,1441,1
4166,1088,1
4166,1033,1
4166,1241,1
4166,1234,1
4166,1213,1
4166,1166,1
4166,1444,1
41666,1435,1
41666,1263,1
41666,1420,1
41666,1413,1
41666,1449,1
41666,1335,1
41666,1307,1
41666,1301,1
41666,1290,1
41666,1154,1
41666,1411,1
41666,1439,1
41666,1422,1
41666,1196,1
41666,1440,2
41666,1634,1
41666,1496,1
41666,1336,1
41666,1462,1
41666,1409,1
41666,1423,1
41666,1346,1
41666,1311,1
41666,1228,1
41666,1431,1
41666,1019,1
41666,1121,1
41666,1290,1
41666,1139,1
41666,1038,1
41666,1285,1
41666,1398,2
41666,1440,2
41666,1107,1
41666,1434,1
41666,1425,1
41666,1318,1
41666,1044,1
41666,1197,1
41666,1345,1
41666,1388,1
41666,1046,1
41666,1338,1
41666,1301,1
41666,1280,1
41666,907,1
41666,1226,1
41666,1322,1
41666,1150,1
41666,986,1
41666,1285,1
41666,1423,1
41666,1434,1
41666,1231,1
41666,1302,1
41666,1567,1
41666,1532,1
41666,1627,2
41666,1458,1
41666,1641,1
41666,1314,1
41666,1380,1
41666,1554,1
41666,1549,1
41666,1499,1
41666,1830,1
41666,1638,2
41666,1797,1
41666,1616,1
41666,1515,1
41666,1930,2
41666,1613,2
41666,1678,1
41666,1939,2
41666,1742,2
41666,1722,2
41666,1861,2
41666,1833,2
41666,1880,2
41666,1908,1
41666,1947,2
41666,1769,2
41666,1859,2
41666,1838,2
41666,1984,2
41666,1797,1
41666,1934,2
41666,2080,2
41666,2254,2
41666,1815,2
41666,1905,2
41666,1940,2
41666,2064,2
41666,1646,2
41666,1774,2
41666,1715,2
41666,1734,2
41666,1628,2
41666,1721,2
41666,1613,2
41666,1531,2
41666,1607,2
41666,1484,1
41666,1232,1
41666,1330,1
41666,1120,1
41666,1163,1
41666,888,1
41666,1066,1
41666,970,1
41666,1264,1
41666,1235,1
41666,1239,1
41666,1311,1
41666,1295,1
41666,1520,2
41666,1323,1
41666,1051,1
41666,1147,1
41666,828,1
41666,985,1
41666,1000,1
41666,910,1
41666,782,1
41666,752,1
41666,1035,1
41666,1214,1
41666,1136,1
41666,1120,1
41666,1179,1
41666,603,1
41666,990,1
41666,1047,1
41666,1240,1
41666,1011,1
41666,887,1
41666,976,1
41666,1079,1
41666,984,1
41666,1166,1
41666,1334,1
41666,1224,1
41666,1413,1
41666,1468,2
41666,1337,1
41666,1508,1
41666,1239,1
41666,1238,1
41666,1231,1
41666,1406,1
41666,1332,1
41666,1633,1
41666,1306,1
41666,1458,1
41666,1666,1
41666,1444,1
41666,1516,1
41666,1349,1
41666,1606,2
41666,1402,1
41666,1543,1
41666,1299,1
41666,1595,1
41666,1281,1
41666,1454,1
41666,1298,1
41666,1364,1
41666,1411,1
41666,460,1
41666,830,1
41666,1211,1
41666,1352,1
41666,1317,1
41666,1210,1
41666,1313,1
41666,1201,1
41666,1463,1
41666,1180,1
41666,1128,1
41666,1318,1
41666,1298,1
41666,1143,1
41666,1179,1
41666,1187,1
41666,1018,1
41666,1226,1
41666,908,1
41666,1321,1
41666,1065,1
41666,1043,2
41666,902,1
41666,1155,2
41666,1122,1
41666,1332,1
41666,1153,1
41666,933,1
41666,1183,1
41666,851,1
41666,941,1
41666,1162,1
41666,918,1
41666,1159,1
41666,829,1
41666,1225,1
41666,850,1
41666,1226,1
41666,1000,1
41666,1541,1
41666,1256,1
41666,1407,1
41666,1062,1
41666,977,1
41666,881,1
41666,1162,1
41666,1348,1
41666,1081,1
41666,729,1
41666,953,1
41666,1038,1
41666,1371,1
41666,1407,2
41666,1510,1
41666,1453,1
41666,1356,1
41666,1397,1
41666,1534,1
41666,1621,2
41666,1173,1
41666,1504,2
41666,1523,1
41666,1721,2
41666,1480,1
41666,1589,2
41666,1575,2
41666,1752,2
41666,1616,2
41666,1530,2
41666,1726,2
41666,1420,1
41666,1528,1
41666,1526,1
41666,1491,1
41666,1313,1
41666,1586,2
41666,1350,1
41666,1346,1
41666,1137,1
41666,1239,1
41666,1416,1
41666,1281,1
41666,1205,1
41666,1304,1
41666,1333,2
41666,1229,1
41666,1164,1
41666,1232,1
41666,1201,1
41666,1148,1
41666,1022,1
41666,1343,1
41666,1076,1
41666,1257,1
41666,1053,1
41666,1143,1
41666,1072,1
41666,1268,1
41666,1061,1
41666,1270,1
41666,1104,1
41666,1288,1
41666,1053,1
41666,1277,1
41666,981,1
41666,1082,1
41666,1042,1
41666,938,1
41666,622,1
41666,952,1
41666,923,1
41666,1022,1
41666,936,1
41666,1075,1
41666,807,1
41666,949,1
41666,994,1
41666,1153,1
41666,1074,1
41666,878,1
41666,1530,1
41666,1478,1
41666,740,1
41666,950,1
41666,1407,1
41666,1064,1
41666,681,1
41666,643,1
41666,831,1
41666,942,1
41666,580,1
41666,588,1
41666,688,1
41666,743,1
41666,744,1
41666,667,1
41666,804,1
41666,872,1
41666,629,1
41666,639,1
41666,715,1
41666,768,1
41666,627,1
41666,616,1
41666,754,1
41666,774,1
41666,675,1
41666,828,1
41666,709,1
41666,886,1
41666,801,1
41666,890,1
41666,866,1
41666,1018,1
41666,851,1
41666,832,1
41666,874,1
41666,884,1
41666,720,1
41666,735,1
41666,678,1
41666,837,1
41666,748,1
41666,1044,1
41666,1003,1
41666,889,1
41666,857,1
41666,986,1
41666,1049,1
41666,1059,1
41666,869,1
41666,1051,1
41666,1044,1
41666,1051,1
41666,751,1
41666,1017,1
41666,1055,1
41666,990,1
41666,811,1
41666,941,1
41666,1002,1
41666,1129,1
41666,700,1
41666,980,1
41666,950,1
41666,1070,1
41666,854,1
41666,998,1
41666,971,1
41666,916,1
41666,929,1
41666,1052,1
41666,996,1
41666,949,1
41666,925,1
41666,948,1
41666,1044,1
41666,1261,1
41666,697,1
41666,837,1
41666,1042,1
41666,1175,1
41666,826,1
41666,922,1
41666,1010,1
41666,988,1
41666,914,1
41666,934,1
41666,1085,1
41666,1136,1
41666,804,1
41666,941,1
41666,999,1
41666,1027,1
41666,775,1
41666,924,1
41666,922,1
41666,990,1
41666,907,1
41666,952,1
41666,981,1
41666,1020,1
41666,840,1
41666,1014,1
41666,1025,1
41666,892,1
41666,858,1
41666,945,1
41666,1020,1
41666,992,1
41666,899,1
41666,954,1
41666,1015,1
41666,976,1
41666,881,1
41666,878,1
41666,1102,1
41666,1541,1
41666,450,1
41666,821,1
41666,862,1
41666,1021,1
41666,764,1
41666,984,1
41666,981,1
41666,901,1
41666,860,1
41666,1097,1
41666,1396,1
41666,520,1
41666,173,1
41666,921,1
41666,1079,1
41666,910,1
41666,943,1
41666,915,1
41666,876,1
41666,1018,1
41666,970,1
41666,866,1
41666,1017,1
41666,1199,1
41666,1051,1
41666,893,1
41666,955,1
41666,987,1
41666,924,1
41666,1065,1
41666,999,1
41666,1029,1
41666,1035,1
41666,998,1
41666,1057,1
41666,1046,1
41666,961,1
41666,1137,1
41666,1210,1
41666,991,1
41666,989,1
41666,1140,1
41666,1056,1
41666,899,1
41666,1074,1
41666,1028,1
41666,1017,1
41666,1154,1
41666,923,1
41666,1206,1
