current_bitrate,frame_size,duration
4166,41848,9
4166,736,2
4166,1821,2
4166,3004,2
4166,3728,2
4166,3014,2
4166,4063,2
4166,3986,2
4166,4542,2
4166,3441,2
4166,3995,2
4166,4066,2
4166,4323,2
4166,3501,2
4166,3851,2
4166,3979,2
4166,4301,2
4166,3445,1
4166,3945,2
4166,3549,2
4166,4390,2
4166,3423,2
4166,3558,2
4166,3669,2
4166,4152,2
4166,3570,2
4166,3823,2
4166,4055,2
4166,4285,2
4166,3129,2
4166,3874,2
4166,3978,2
4166,4317,2
4166,3193,2
4166,3468,2
4166,3272,2
4166,3828,2
4166,2599,1
4166,3283,2
4166,3833,2
4166,3894,2
4166,2745,1
4166,3190,1
4166,3484,2
4166,4276,2
4166,2943,1
4166,3464,1
4166,3520,1
4166,4116,2
4166,3110,1
4166,3302,2
4166,3486,1
4166,4302,2
4166,3410,1
4166,3913,1
4166,3784,1
4166,4529,2
4166,3377,1
4166,3775,1
4166,3937,2
4166,4264,2
4166,3185,1
4166,3690,1
4166,3960,1
4166,4722,2
4166,3278,1
4166,3567,1
4166,3830,1
4166,4238,2
4166,3596,1
4166,4005,1
4166,3898,1
4166,4918,2
4166,3928,1
4166,4242,2
4166,4164,2
4166,4581,2
4166,3416,2
4166,4161,2
4166,4189,2
4166,4745,2
4166,3636,2
4166,4104,2
4166,5365,2
4166,4892,2
4166,4189,2
4166,4690,2
4166,4297,2
4166,5176,2
4166,3962,1
4166,4441,2
4166,4389,2
4166,4901,2
4166,3990,1
4166,4345,2
4166,4556,2
4166,5295,2
4166,4245,2
4166,4366,2
4166,4357,2
4166,4843,2
4166,4000,2
4166,4661,2
4166,4341,2
4166,4666,2
4166,3891,2
4166,4301,2
4166,4214,2
4166,4876,2
4166,4206,1
4166,4533,2
4166,4252,2
4166,5017,2
4166,4238,2
4166,4514,2
4166,4520,2
4166,5210,2
4166,4172,2
4166,4563,2
4166,5045,2
41666,5409,2
41666,4657,2
41666,5445,2
41666,5217,2
41666,6400,2
41666,5186,2
41666,5719,2
41666,7777,2
41666,10414,3
41666,9427,2
41666,10363,2
41666,9628,2
41666,10014,2
41666,7623,2
41666,9397,2
41666,9512,2
41666,10622,2
41666,9206,2
41666,9561,2
41666,9453,2
41666,10096,2
41666,9019,2
41666,10040,2
41666,9950,2
41666,9387,2
41666,13864,3
41666,7841,2
41666,9348,2
41666,11084,2
41666,7981,2
41666,10972,2
41666,9036,2
41666,11958,2
41666,8539,2
41666,9234,2
41666,10909,2
41666,11139,2
41666,8006,2
41666,10057,2
41666,9473,2
41666,11616,2
41666,9332,2
41666,9442,2
41666,9923,2
41666,9441,2
41666,8339,2
41666,10952,2
41666,9202,2
41666,10604,2
41666,8021,2
41666,9188,2
41666,8716,2
41666,11543,3
41666,8836,2
41666,10888,3
41666,8558,2
41666,10702,3
41666,9377,3
41666,10464,3
41666,12485,3
41666,12149,3
41666,8107,2
41666,10154,3
41666,9730,3
41666,12319,3
41666,9642,3
41666,10782,3
41666,10072,3
41666,12077,3
41666,9541,3
41666,12840,4
41666,13030,4
41666,10782,4
41666,10907,3
41666,12268,4
41666,10260,3
41666,12987,4
41666,9947,3
41666,11826,4
41666,11227,3
41666,13683,4
41666,10622,4
41666,12089,4
41666,14831,4
41666,13419,4
41666,10260,3
41666,12643,3
41666,12155,4
41666,13980,4
41666,11404,3
41666,14275,4
41666,11931,3
41666,15139,4
41666,12812,3
41666,14470,4
41666,12855,4
41666,15257,4
41666,12773,4
41666,12732,4
41666,11743,4
41666,14137,4
41666,11313,3
41666,12043,3
41666,11475,4
41666,13969,4
41666,9928,3
41666,11890,3
41666,9880,3
41666,12069,3
41666,9556,3
41666,10204,3
41666,12088,4
41666,8448,3
41666,10404,3
41666,10169,3
41666,10908,3
41666,11184,3
41666,12524,4
41666,14044,4
41666,9770,3
41666,10227,3
41666,10084,3
41666,12103,3
41666,8932,3
41666,10466,3
41666,10730,3
41666,11669,3
41666,10170,3
41666,9980,3
41666,9975,3
41666,16431,4
41666,9855,3
41666,11782,3
41666,9785,3
41666,9854,3
41666,9580,3
41666,9193,3
41666,10106,3
41666,11743,3
41666,8789,3
41666,10401,3
41666,10028,3
41666,12078,3
41666,10523,3
41666,11646,3
41666,11569,3
41666,12179,3
41666,10154,3
41666,12043,3
41666,10781,3
41666,13212,3
41666,10219,3
41666,12782,3
41666,11530,3
41666,12281,3
41666,9749,3
41666,12929,3
41666,12733,3
41666,14715,3
41666,11774,3
41666,13285,3
41666,12340,3
41666,13285,3
41666,11167,3
41666,13001,3
41666,10820,3
41666,13346,3
41666,10984,3
41666,9418,3
41666,8947,3
41666,9930,3
41666,10942,3
41666,12108,3
41666,11256,3
41666,10660,3
41666,10499,3
41666,12425,3
41666,12349,3
41666,11428,3
41666,11704,3
41666,13243,3
41666,11111,3
41666,11581,3
41666,12845,3
41666,14314,4
41666,12776,3
41666,12007,3
41666,11470,3
41666,12608,3
41666,11045,3
41666,10729,3
41666,11920,3
41666,10493,3
41666,11145,3
41666,11446,3
41666,10069,3
41666,11440,3
41666,9398,3
41666,10664,3
41666,10377,3
41666,10047,3
41666,10964,3
41666,9466,3
41666,10899,3
41666,9751,3
41666,11621,3
41666,15342,4
41666,9936,3
41666,12788,3
41666,11154,3
41666,10240,3
41666,11864,3
41666,10312,3
41666,12020,3
41666,9907,3
41666,12230,3
41666,9254,3
41666,11182,3
41666,13078,3
41666,13855,3
41666,12602,3
41666,10464,3
41666,12142,3
41666,11529,3
41666,13130,4
41666,12715,4
41666,14575,4
41666,12817,3
41666,12668,3
41666,12188,3
41666,14125,4
41666,11818,3
41666,13143,3
41666,14169,3
41666,13461,3
41666,15947,4
41666,14151,3
41666,15505,4
41666,14262,4
41666,16766,4
41666,13672,4
41666,15455,4
41666,14507,4
41666,15847,4
41666,12989,4
41666,14355,4
41666,14369,4
41666,14666,4
41666,12040,4
41666,13952,4
41666,13217,4
41666,14135,4
41666,10577,3
41666,15983,4
41666,13261,4
41666,13179,4
41666,11296,4
41666,12540,4
41666,13556,4
41666,14750,4
41666,11552,3
41666,12981,4
41666,13007,4
41666,14568,4
41666,11084,3
41666,14272,4
41666,13672,4
41666,13490,3
41666,12142,3
41666,13195,3
41666,11396,3
41666,11835,3
41666,11471,3
41666,12461,3
41666,10441,3
41666,11712,3
41666,9925,3
41666,12164,3
41666,9550,3
41666,12222,3
41666,10545,3
41666,10680,3
41666,11743,3
41666,11594,3
41666,10031,3
41666,10415,3
41666,9900,3
41666,14096,3
41666,11268,3
41666,11218,3
41666,10219,2
41666,11178,3
41666,9548,2
41666,9599,2
41666,8052,2
41666,11759,3
41666,8116,2
41666,9039,2
41666,9714,2
41666,10881,3
41666,9972,2
41666,10628,2
41666,9558,2
41666,11979,3
41666,10744,3
41666,10252,3
41666,10337,3
41666,11368,3
41666,10531,2
41666,9670,2
41666,8974,2
41666,11284,2
41666,10330,2
41666,13009,3
41666,9280,2
41666,10382,2
41666,10570,2
41666,10583,2
41666,9724,2
41666,11238,2
41666,10345,2
41666,11082,3
41666,10389,3
41666,10892,2
41666,10483,2
41666,10492,2
41666,9172,2
41666,11051,2
41666,10289,2
41666,10925,2
41666,10097,2
41666,11180,2
41666,10830,2
41666,11696,2
41666,11372,3
41666,11629,2
41666,10960,2
41666,10558,2
41666,10416,2
41666,12165,3
41666,11103,3
41666,11023,2
41666,10439,2
41666,11593,2
41666,10439,2
41666,11169,2
41666,10456,2
41666,10929,2
41666,10126,2
41666,10588,2
41666,10222,2
41666,10557,2
41666,10140,2
41666,11159,2
41666,10459,2
41666,11264,2
41666,9857,2
41666,10575,2
41666,10866,2
41666,12501,3
41666,10607,2
41666,12227,3
41666,10797,2
41666,11296,2
41666,11048,2
41666,10909,2
41666,11002,3
41666,11908,3
41666,10860,2
41666,11754,3
41666,10910,3
41666,11070,2
41666,11176,3
41666,15532,3
41666,10092,2
41666,11419,3
41666,10838,2
41666,10490,2
41666,10227,2
41666,10910,3
41666,11042,3
41666,10515,3
41666,10268,3
41666,11227,3
41666,9964,2
41666,11395,2
41666,10044,2
41666,11133,2
41666,10228,2
41666,10387,3
41666,9486,2
41666,11097,3
41666,9668,2
41666,10879,2
41666,9769,2
41666,10942,2
41666,9719,2
41666,11022,2
41666,9982,2
41666,11456,2
41666,10575,2
41666,11632,2
41666,10350,2
41666,11722,2
41666,10846,2
41666,10122,3
41666,9641,2
41666,10571,2
41666,10152,2
41666,11180,2
41666,9448,2
41666,11203,2
41666,10441,2
41666,10518,2
41666,9863,2
41666,10002,2
41666,10794,3
41666,11512,2
41666,22004,4
41666,11027,3
41666,12475,3
41666,12278,3
41666,11764,3
41666,11121,2
41666,10784,2
41666,11519,2
41666,11381,2
41666,11282,3
41666,10592,2
41666,10999,2
41666,12279,3
41666,11870,2
41666,10440,2
41666,10919,2
41666,10558,2
41666,11849,2
41666,11208,2
41666,12190,3
41666,11601,2
41666,12714,3
41666,10770,2
41666,11752,2
41666,11921,2
41666,12566,3
41666,11892,2
41666,11842,2
41666,11233,2
41666,12278,2
41666,11021,2
41666,11892,2
41666,10611,2
41666,12756,3
41666,9875,2
41666,11908,2
41666,10540,2
41666,11073,2
