10to1,0.1,2,1,617.8258947368421,318.21810526315784,74.60184464171124,73.73658270855614,299.60778947368425,-0.8652619331550966, 0.4849388671242078,0.011598398636262582
10to1,0.1,3,2,793.2473684210524,510.1669473684213,74.57228901069519,73.93546896791445,283.08042105263115,-0.6368200427807409, 0.3568627294863879,0.00853963384025141
10to1,0.1,4,3,954.1557894736842,680.6564210526316,74.79936788502674,74.08379937967914,273.4993684210526,-0.7155685053476049, 0.2866401602739484,0.009566504712279081
10to1,0.3,2,1,722.0568421052634,256.377894736842,77.67290434491979,75.56913939572192,465.6789473684214,-2.103764949197867, 0.6449339168515675,0.02708492706614574
10to1,0.3,3,2,956.9174736842106,457.8722105263159,77.9474752540107,75.92028150802139,499.0452631578947,-2.027193745989308, 0.5215133769441263,0.026007176491389967
10to1,0.3,4,3,1100.0334736842108,687.9741052631581,77.81077861497327,76.33307235561497,412.0593684210527,-1.4777062593582997, 0.3745880268906649,0.018991022653434057
10to1,0.5,2,1,857.585052631579,203.92473684210526,79.55598429144385,77.21636059090909,653.6603157894737,-2.3396237005347587, 0.7622104813786768,0.029408519313441295
10to1,0.5,3,2,1104.580631578948,397.5412631578949,79.4462174893048,77.05694209625668,707.039368421053,-2.3892753930481234, 0.6400975611987441,0.030074123961531234
10to1,0.5,4,3,1327.9562105263153,642.0667368421055,79.52758737433155,77.43979697860962,685.8894736842099,-2.0877903957219246, 0.5165000684867221,0.02625240453850085
10to1,0.7,2,1,1131.097894736842,283.47031578947355,79.73547420053475,78.70385533957219,847.6275789473684,-1.031618860962567, 0.7493848082394098,0.012938016250684671
10to1,0.7,3,2,1309.1555789473684,491.6277894736843,79.82341782620321,78.69621481550801,817.5277894736842,-1.1272030106951973, 0.6244695455761037,0.014121207051662681
10to1,0.7,4,3,1516.8722105263157,729.6905263157894,79.85670082085561,78.9424770802139,787.1816842105263,-0.9142237406417024, 0.5189505607314109,0.011448303414044136
10to1,1.0,2,1,1280.5037894736845,270.58412631578943,79.99312006417112,78.53114838235294,1009.919663157895,-1.4619716818181843, 0.788689320140938,0.018276217762794835
10to1,1.0,3,2,1473.319789473684,472.7701052631578,79.96804945989305,78.57103106951872,1000.5496842105263,-1.3970183903743276, 0.6791123633572816,0.01746970696184086
10to1,1.0,4,3,1686.2416842105263,710.7292631578948,79.98367627005348,78.58711326737968,975.5124210526315,-1.3965630026738012, 0.5785128135468625,0.017460600309974567
min_delay_improvement: 0.2866401602739484, max_delay_improvement: 0.788689320140938, min_vmaf_improvement: 0.00853963384025141, max_vmaf_improvement: 0.030074123961531234
