0,25.30
1,29.49
2,26.22
3,23.93
4,23.58
5,23.26
6,23.16
7,23.09
8,23.07
9,23.08
10,23.07
11,22.96
12,22.99
13,22.90
14,22.56
15,22.19
16,22.45
17,22.56
18,22.27
19,22.31
20,22.72
21,22.84
22,22.74
23,22.56
24,22.52
25,22.71
26,22.82
27,22.89
28,22.84
29,22.81
30,22.84
31,22.94
32,22.76
33,22.69
34,22.48
35,22.52
36,22.19
37,21.94
38,21.91
39,22.00
40,22.17
41,22.34
42,22.67
43,22.66
44,22.60
45,22.50
46,22.37
47,22.26
48,22.23
49,22.15
50,22.28
51,22.40
52,22.15
53,21.87
54,21.96
55,22.21
56,22.28
57,22.18
58,22.15
59,22.09
60,22.25
61,22.15
62,22.20
63,22.13
64,22.10
65,22.01
66,21.84
67,21.77
68,21.63
69,21.50
70,21.39
71,21.25
72,21.26
73,21.44
74,21.38
75,21.35
76,21.37
77,21.41
78,21.43
79,21.38
80,21.33
81,21.34
82,21.32
83,21.54
84,21.52
85,21.75
86,21.90
87,22.08
88,22.09
89,22.27
90,22.10
91,21.79
92,21.66
93,21.56
94,21.76
95,21.98
96,21.94
97,21.87
98,21.82
99,21.59
100,21.61
101,21.74
102,21.80
103,21.89
104,21.98
105,21.91
106,21.86
107,21.73
108,21.67
109,21.59
110,21.82
111,21.82
112,22.00
113,21.96
114,21.80
115,21.64
116,21.47
117,21.42
118,21.40
119,21.52
120,21.58
121,21.78
122,21.61
123,21.58
124,21.63
125,21.67
126,21.56
127,21.60
128,21.43
129,21.29
130,21.18
131,21.18
132,21.21
133,21.26
134,21.37
135,21.44
136,21.48
137,21.47
138,21.49
139,21.32
140,21.19
141,21.12
142,21.07
143,21.11
144,21.15
145,21.11
146,20.97
147,20.97
148,20.98
149,20.99
150,21.10
151,21.31
152,21.38
153,21.43
154,21.28
155,21.42
156,21.61
157,21.50
158,21.49
159,21.21
160,21.13
161,21.03
162,21.01
163,20.81
164,20.94
165,20.96
166,21.02
167,21.08
168,21.21
169,21.19
170,21.18
171,21.21
172,21.22
173,21.28
174,21.32
175,21.24
176,21.42
177,21.32
178,21.31
179,21.34
180,21.19
181,21.23
182,21.19
183,21.13
184,21.02
185,21.16
186,21.25
187,21.26
188,21.33
189,21.36
190,21.36
191,21.36
192,21.26
193,21.40
194,21.42
195,21.42
196,21.52
197,21.47
198,21.47
199,21.41
200,21.45
201,21.40
202,21.43
203,21.47
204,21.39
205,21.56
206,21.51
207,21.69
208,21.56
209,21.49
210,21.41
211,21.39
212,21.34
213,21.32
214,21.38
215,21.40
216,21.33
217,21.50
218,21.58
219,21.49
220,21.30
221,21.28
222,21.24
223,21.43
224,21.25
225,21.58
226,21.43
227,21.52
228,21.48
229,21.51
230,21.55
231,21.62
232,21.61
233,21.62
234,21.57
235,21.63
236,21.52
237,21.56
238,21.58
239,21.58
240,21.57
241,21.49
242,21.47
243,21.42
244,21.51
245,21.61
246,21.72
247,21.78
248,21.79
249,21.73
250,21.67
251,21.69
252,21.65
253,21.71
254,21.80
255,21.81
256,21.76
257,21.78
258,21.78
259,21.74
260,21.75
261,21.79
262,21.79
263,21.80
264,21.78
265,21.78
266,21.83
267,21.76
268,21.66
269,21.79
270,21.63
271,21.81
272,21.81
273,21.75
274,21.75
275,21.86
276,21.85
277,21.90
278,21.84
279,21.87
280,21.90
281,21.99
282,21.95
283,21.98
284,21.99
285,22.02
286,22.06
287,22.18
288,22.12
289,22.13
290,22.11
291,22.23
292,22.20
293,22.25
294,22.38
295,22.45
296,22.56
297,22.43
298,22.51
299,22.58
300,22.65
301,35.98
302,35.32
303,37.73
304,38.82
305,41.52
306,42.86
307,44.19
308,46.06
309,45.12
310,45.26
311,44.25
312,44.01
313,43.72
314,44.00
315,44.34
316,44.30
317,43.94
318,44.01
319,43.80
320,44.71
321,43.83
322,43.66
323,44.43
324,44.01
325,45.04
326,44.93
327,44.66
328,45.40
329,46.17
330,45.92
331,46.09
332,46.84
333,47.27
334,44.96
335,45.17
336,45.33
337,45.79
338,45.58
339,44.98
340,44.57
341,45.08
