{cfg.data},{cfg.bitrate},{strategy},{avg_delay},{tail_delay},{avg_vmaf},{avg_psnr}
ReadySteadyGo,static_1mbps,0.3,25.61522147651007,30.130800000000004,38.051868189597315,30.410524188813945
ReadySteadyGo,static_1mbps,0.04,18.604939597315436,23.085466666666665,30.188265748322145,29.78578418421303
ReadySteadyGo,static_2mbps,0.3,25.961590604026846,29.323733333333337,65.06585962080537,31.882004050754354
ReadySteadyGo,static_2mbps,0.04,17.34611409395973,23.515866666666664,49.43675311912751,31.075657749926098
ReadySteadyGo,static_5mbps,0.3,26.17221744966443,28.939333333333334,92.27792935402685,33.958742802103046
ReadySteadyGo,static_5mbps,0.04,16.796357046979864,23.255573333333334,81.4252337818792,32.997264468828675
ReadySteadyGo,static_10mbps,0.3,26.33169798657718,28.668453333333332,99.47416526510067,35.774031520929746
ReadySteadyGo,static_10mbps,0.04,16.67741342281879,23.086226666666665,96.32680996644294,34.64748680925751
ReadySteadyGo,static_20mbps,0.3,26.40649798657718,28.353806666666667,99.94287394295303,37.52594563500638
ReadySteadyGo,static_20mbps,0.04,16.806392617449667,23.46148,99.81345970637584,36.43936616697876
ReadySteadyGo,static_1mbps,0.06,22.890912751677853,25.107866666666666,36.214193854026846,30.244325790359024
ReadySteadyGo,static_2mbps,0.06,23.109731543624164,25.317333333333337,61.67147856208053,31.720177336446216
ReadySteadyGo,static_5mbps,0.06,23.219680536912755,25.484986666666668,90.3778987432886,33.77389078060455
ReadySteadyGo,static_10mbps,0.06,23.28464966442953,25.64770666666666,99.12061912919464,35.55514512957532
ReadySteadyGo,static_20mbps,0.06,23.435226845637583,25.914173333333334,99.93328548154362,37.2783630709789
ReadySteadyGo,static_1mbps,0.3_drop,12.877785234899328,29.960799999999995,24.44262887919463,30.44832527721626
ReadySteadyGo,static_2mbps,0.3_drop,13.014758389261745,29.36613333333333,36.77000282214765,31.401072436668684
ReadySteadyGo,static_5mbps,0.3_drop,13.20864966442953,29.201813333333337,53.65566544966443,32.795046575915485
ReadySteadyGo,static_10mbps,0.3_drop,13.27805100671141,28.74928,59.95200017449664,33.79537696757449
ReadySteadyGo,static_20mbps,0.3_drop,13.336973825503357,28.134380000000004,60.80522970134229,34.671395928448845
ReadySteadyGo,10to1,0.3,46.300280536912766,231.89440000000005,47.29428262248322,31.311427964019295
ReadySteadyGo,10to1,0.04,21.097832214765102,44.34315999999999,42.45688306711409,30.674561903481557
ReadySteadyGo,10to2,0.3,33.91974362416107,107.0074266666667,69.40923331375839,32.54942380809018
ReadySteadyGo,10to2,0.04,17.949248322147653,27.310426666666665,56.22145911577181,31.769462054727423
ReadySteadyGo,10to2,0.3_adaptive,27.43582416107383,42.17716,69.45314716610739,32.549015024896526
ReadySteadyGo,10to1,0.3_adaptive,32.55873691275168,95.69752000000001,47.32091763087248,31.306273387783857
ReadySteadyGo,10to2,0.06,24.594659060402687,40.431733333333334,66.48404622986577,32.399984563418926
ReadySteadyGo,10to2,0.08,27.645425503355707,49.74794666666665,69.36125575167786,32.54245471390318
ReadySteadyGo,10to2,0.1,29.312312751677858,59.48852,69.95826607214765,32.582526300413384
ReadySteadyGo,10to2,0.2,30.315464429530202,69.89166666666665,69.73998137080537,32.5741401832394
ReadySteadyGo,10to1,0.06,29.353182550335564,88.8081333333333,46.048005875838925,31.142069497273994
ReadySteadyGo,10to1,0.08,33.23299597315437,112.04549333333334,47.19791617114094,31.263034468053085
ReadySteadyGo,10to1,0.1,37.299238926174496,141.88895999999997,47.689808612416115,31.335338707899652
ReadySteadyGo,10to1,0.2,40.13167919463087,169.0708133333333,47.907785266778525,31.34034147586397
